Date,Discharge
9/8/2019,6.61
9/9/2019,6.49
9/10/2019,6.49
9/11/2019,6.97
9/12/2019,6.49
9/13/2019,6.31
9/14/2019,6.3
9/15/2019,6.52
9/16/2019,6.25
9/17/2019,6.13
9/18/2019,6.1
9/19/2019,6.07
9/20/2019,5.98
9/21/2019,5.92
9/22/2019,6.05
9/23/2019,11.3
9/24/2019,6.06
9/25/2019,5.29
9/26/2019,6.77
9/27/2019,5.45
9/28/2019,6.33
9/29/2019,5.47
9/30/2019,5.18
10/1/2019,5.12
10/2/2019,9.03
10/3/2019,6.04
10/4/2019,5.42
10/5/2019,5.02
10/6/2019,4.97
10/7/2019,26.4
10/8/2019,7.41
10/9/2019,6.01
10/10/2019,5.75
10/11/2019,5.5
10/12/2019,5.45
10/13/2019,5.2
10/14/2019,5.13
10/15/2019,5.06
10/16/2019,25.2
10/17/2019,52.9
10/18/2019,16.6
10/19/2019,8.75
10/20/2019,7.48
10/21/2019,6.88
10/22/2019,9.38
10/23/2019,10.1
10/24/2019,7.17
10/25/2019,6.76
10/26/2019,6.51
10/27/2019,18.2
10/28/2019,10.3
10/29/2019,7.89
10/30/2019,7.07
10/31/2019,50
11/1/2019,79.2
11/2/2019,17.9
11/3/2019,13.3
11/4/2019,11.2
11/5/2019,11.8
11/6/2019,11.2
11/7/2019,10.7
11/8/2019,10.4
11/9/2019,9.76
11/10/2019,9.71
11/11/2019,9.9
11/12/2019,9.88
11/13/2019,9.31
11/14/2019,9.21
11/15/2019,9.6
11/16/2019,9.55
11/17/2019,8.96
11/18/2019,9.12
11/19/2019,9.38
11/20/2019,9.01
11/21/2019,8.67
11/22/2019,8.77
11/23/2019,8.45
11/24/2019,8.19
11/25/2019,8.3
11/26/2019,7.99
11/27/2019,8.58
11/28/2019,9.44
11/29/2019,8.65
11/30/2019,8.23
12/1/2019,8.28
12/2/2019,8.3
12/3/2019,7.87
12/4/2019,7.95
12/5/2019,8.34
12/6/2019,8.29
12/7/2019,8.18
12/8/2019,7.99
12/9/2019,16.6
12/10/2019,56.4
12/11/2019,19.7
12/12/2019,11.8
12/13/2019,11
12/14/2019,32.4
12/15/2019,29.2
12/16/2019,16.5
12/17/2019,14
12/18/2019,12.7
12/19/2019,10.3
12/20/2019,9.99
12/21/2019,9.68
12/22/2019,9.75
12/23/2019,10.4
12/24/2019,12.4
12/25/2019,11.3
12/26/2019,10.9
12/27/2019,21.2
12/28/2019,15.7
12/29/2019,13.5
12/30/2019,47.6
12/31/2019,24.4
1/1/2020,16.9
1/2/2020,13.7
1/3/2020,12.8
1/4/2020,23.4
1/5/2020,17.7
1/6/2020,14
1/7/2020,12.6
1/8/2020,12
1/9/2020,10.5
1/10/2020,13.3
1/11/2020,23.5
1/12/2020,16.8
1/13/2020,13
1/14/2020,12.2
1/15/2020,11.6
1/16/2020,13.9
1/17/2020,11.2
1/18/2020,10.3
1/19/2020,10.4
1/20/2020,10
1/21/2020,9.8
1/22/2020,9.79
1/23/2020,9.73
1/24/2020,9.78
1/25/2020,17.7
1/26/2020,22.8
1/27/2020,18.6
1/28/2020,15.1
1/29/2020,13.1
1/30/2020,11.3
1/31/2020,11
2/1/2020,11.3
2/2/2020,11.5
2/3/2020,11.7
2/4/2020,11.9
2/5/2020,11.2
2/6/2020,11.2
2/7/2020,12
2/8/2020,10.6
2/9/2020,10.4
2/10/2020,12.1
2/11/2020,13.1
2/12/2020,12.7
2/13/2020,14.1
2/14/2020,11.4
2/15/2020,10.6
2/16/2020,10.9
2/17/2020,10.8
2/18/2020,11.7
2/19/2020,13.2
2/20/2020,11.9
2/21/2020,11.3
2/22/2020,11.1
2/23/2020,11.4
2/24/2020,13.6
2/25/2020,16.7
2/26/2020,18.9
2/27/2020,49.2
2/28/2020,19.6
2/29/2020,14.7
3/1/2020,13
3/2/2020,22.8
3/3/2020,45.1
3/4/2020,44.8
3/5/2020,22.3
3/6/2020,18.5
3/7/2020,16.3
3/8/2020,14.7
3/9/2020,14.5
3/10/2020,16.1
3/11/2020,14.9
3/12/2020,12.9
3/13/2020,13.1
3/14/2020,11.7
3/15/2020,11.1
3/16/2020,10.6
3/17/2020,10.7
3/18/2020,10.2
3/19/2020,11.1
3/20/2020,13.8
3/21/2020,10.4
3/22/2020,9.66
3/23/2020,10.6
3/24/2020,11.6
3/25/2020,13.3
3/26/2020,12.7
3/27/2020,11.7
3/28/2020,12.8
3/29/2020,18.3
3/30/2020,31.1
3/31/2020,20.7
4/1/2020,15.1
4/2/2020,12.6
4/3/2020,12.2
4/4/2020,11.7
4/5/2020,10.9
4/6/2020,10.4
4/7/2020,10.2
4/8/2020,10.6
4/9/2020,10.6
4/10/2020,12.8
4/11/2020,11.6
4/12/2020,10.3
4/13/2020,10.6
4/14/2020,9.63
4/15/2020,9.22
4/16/2020,9.52
4/17/2020,9.34
4/18/2020,9.85
4/19/2020,10.2
4/20/2020,10.1
4/21/2020,9.26
4/22/2020,9.15
4/23/2020,8.64
4/24/2020,8.37
4/25/2020,7.99
4/26/2020,10.3
4/27/2020,15.8
4/28/2020,10.8
4/29/2020,9.44
4/30/2020,33.6
5/1/2020,67.2
5/2/2020,19.6
5/3/2020,14.1
5/4/2020,11.9
5/5/2020,11.1
5/6/2020,10.5
5/7/2020,10.3
5/8/2020,9.97
5/9/2020,9.9
5/10/2020,10
5/11/2020,9.36
5/12/2020,8.99
5/13/2020,8.7
5/14/2020,8.44
5/15/2020,14.3
5/16/2020,11.8
5/17/2020,9.1
5/18/2020,11.6
5/19/2020,9.28
5/20/2020,8.48
5/21/2020,8.09
5/22/2020,7.88
5/23/2020,9.18
5/24/2020,8.17
5/25/2020,8.5
5/26/2020,7.61
5/27/2020,7.42
5/28/2020,7.32
5/29/2020,9.94
5/30/2020,8.48
5/31/2020,7.24
6/1/2020,7.08
6/2/2020,7.05
6/3/2020,11.6
6/4/2020,7.21
6/5/2020,7.02
6/6/2020,6.88
6/7/2020,6.71
6/8/2020,6.59
6/9/2020,6.54
6/10/2020,6.44
6/11/2020,6.41
6/12/2020,6.26
6/13/2020,6.08
6/14/2020,6
6/15/2020,6
6/16/2020,5.92
6/17/2020,5.82
6/18/2020,5.8
6/19/2020,5.79
6/20/2020,9.28
6/21/2020,6.02
6/22/2020,5.68
6/23/2020,5.53
6/24/2020,5.47
6/25/2020,5.38
6/26/2020,5.38
6/27/2020,7.04
6/28/2020,8.08
6/29/2020,5.61
6/30/2020,9.21
7/1/2020,5.87
7/2/2020,5.52
7/3/2020,5.45
7/4/2020,5.34
7/5/2020,5.3
7/6/2020,5.27
7/7/2020,5.21
7/8/2020,6.08
7/9/2020,5.17
7/10/2020,5.24
7/11/2020,15.7
7/12/2020,34.2
7/13/2020,6.54
7/14/2020,5.96
7/15/2020,5.65
7/16/2020,30.6
7/17/2020,31.5
7/18/2020,7.12
7/19/2020,6.45
7/20/2020,6.15
7/21/2020,5.84
7/22/2020,7.77
7/23/2020,8.17
7/24/2020,6.15
7/25/2020,5.78
7/26/2020,5.62
7/27/2020,10.8
7/28/2020,22
7/29/2020,7.37
7/30/2020,6.43
7/31/2020,5.74
8/1/2020,5.51
8/2/2020,5.45
8/3/2020,5.23
8/4/2020,10.3
8/5/2020,6.46
8/6/2020,5.48
8/7/2020,5.29
8/8/2020,5.15
8/9/2020,5.01
8/10/2020,5.01
8/11/2020,8.38
8/12/2020,5.59
8/13/2020,5.08
8/14/2020,4.96
8/15/2020,4.88
8/16/2020,4.8
8/17/2020,4.72
8/18/2020,4.67
8/19/2020,4.57
8/20/2020,4.54
8/21/2020,4.49
8/22/2020,4.46
8/23/2020,4.46
8/24/2020,4.42
8/25/2020,9.04
8/26/2020,4.69
8/27/2020,25.6
8/28/2020,5.88
8/29/2020,5.36
8/30/2020,5.15
8/31/2020,4.87
9/1/2020,4.71
9/2/2020,4.77
9/3/2020,4.79
9/4/2020,4.74
9/5/2020,4.7
9/6/2020,4.56
9/7/2020,4.48
